"year_month","count"
"2018-01",1181
"2018-02",1137
"2018-03",1188
"2018-04",1062
"2018-05",1128
"2018-06",1095
"2018-07",1124
"2018-08",1450
"2018-09",1488
"2018-10",1347
"2018-11",1679
"2018-12",1550
"2019-01",1382
"2019-02",1404
"2019-03",1403
"2019-04",1480
"2019-05",1509
"2019-06",1339
"2019-07",1531
"2019-08",1491
"2019-09",1479
"2019-10",1530
"2019-11",1288
"2019-12",1635
"2020-01",1748
"2020-02",1923
"2020-03",1085
"2020-04",353
"2020-05",247
"2020-06",914
"2020-07",1109
"2020-08",1614
"2020-09",1592
"2020-10",1495
"2020-11",1731
"2020-12",2178
"2021-01",1954
"2021-02",1522
"2021-03",2545
"2021-04",1889
"2021-05",1796
"2021-06",1815
"2021-07",2230
"2021-08",1815
"2021-09",1999
"2021-10",1994
"2021-11",1814
"2021-12",2725
"2022-01",2074
"2022-02",2480
"2022-03",2763
"2022-04",2647
"2022-05",2781
"2022-06",2664
"2022-07",2418
"2022-08",2861
"2022-09",2414
"2022-10",2821
"2022-11",2072
"2022-12",2427
"2023-01",2683
"2023-02",2579
"2023-03",2838
"2023-04",1128
