"council_district","lit_per_thous_bbl","rounded"
1,5.07614213197969,5.08
2,2.24466891133558,2.24
3,1.74655540461867,1.75
4,1.37023842148534,1.37
5,2.96186597556461,2.96
6,4.33902227364767,4.34
7,136.653386454183,136.65
8,32.7364297705652,32.74
9,32.6133909287257,32.61
10,205.882352941176,205.88
11,22.4962732077517,22.5
12,3.9714058776807,3.97
13,1.97483236888032,1.97
14,172.318973418882,172.32
15,86.0403863037752,86.04
16,99.6221229817932,99.62
17,41.6872631405503,41.69
18,11.5138165798959,11.51
19,0.0301422715215819,0.03
20,0.884053043182591,0.88
21,1.93488685118196,1.93
22,0.734304246726227,0.73
23,0.110823790173624,0.11
24,1.47242043266508,1.47
25,3.29275593693873,3.29
26,3.43781597573306,3.44
27,0.653777902306902,0.65
28,0.433041030637653,0.43
29,1.20654550938843,1.21
30,0.376660731406657,0.38
31,0.860549932385362,0.86
32,0.648236415633937,0.65
33,1.60399215826056,1.6
34,5.15725397362191,5.16
35,13.9020238320409,13.9
36,10.6568224559448,10.66
37,9.26984126984127,9.27
38,4.78680315192577,4.79
39,2.27714523743405,2.28
40,32.3420074349442,32.34
41,10.0256657042028,10.03
42,3.8127990430622,3.81
43,1.74527879710015,1.75
44,3.03124033405506,3.03
45,5.3188820312108,5.32
46,0.0650300764103398,0.07
47,1.63972827360037,1.64
48,1.6961473225103,1.7
49,0.442718975616401,0.44
50,0.0497005541611789,0.05
